name,oppName,runs,balls,four,six,sr,venue,date
Mitchell Santner ,West Indies,10,5,0,1,200.00,Manchester,Jun 22 2019
Mitchell Santner ,South Africa,2,3,0,0,66.66,Birmingham,Jun 19 2019
Mitchell Santner ,England,5,9,0,0,55.55,Lord's,Jul 14 2019
Mitchell Santner ,England,12,30,1,0,40.00,Chester-le-Street,Jul 3 2019
Mitchell Santner ,Pakistan,5,5,0,0,100.00,Birmingham,Jun 26 2019
Mitchell Santner ,Bangladesh,17,12,2,0,141.66,The Oval,Jun 5 2019
Mitchell Santner ,Australia,12,29,0,1,41.37,Lord's,Jun 29 2019
Mitchell Santner ,India,9,6,1,0,150.00,Manchester,Jul 9 - 10 2019
