name,oppName,runs,balls,four,six,sr,venue,date
Ross Taylor ,West Indies,69,95,7,0,72.63,Manchester,Jun 22 2019
Ross Taylor ,South Africa,1,2,0,0,50.00,Birmingham,Jun 19 2019
Ross Taylor ,England,15,31,0,0,48.38,Lord's,Jul 14 2019
Ross Taylor ,England,28,42,2,0,66.66,Chester-le-Street,Jul 3 2019
Ross Taylor ,Afghanistan,48,52,6,1,92.30,Taunton,Jun 8 2019
Ross Taylor ,Pakistan,3,8,0,0,37.50,Birmingham,Jun 26 2019
Ross Taylor ,Bangladesh,82,91,9,0,90.10,The Oval,Jun 5 2019
Ross Taylor ,Australia,30,54,2,0,55.55,Lord's,Jun 29 2019
Ross Taylor ,India,74,90,3,1,82.22,Manchester,Jul 9 - 10 2019
