name,oppName,runs,balls,four,six,sr,venue,date
Colin de Grandhomme ,West Indies,16,6,1,1,266.66,Manchester,Jun 22 2019
Colin de Grandhomme ,South Africa,60,47,5,2,127.65,Birmingham,Jun 19 2019
Colin de Grandhomme ,England,16,28,0,0,57.14,Lord's,Jul 14 2019
Colin de Grandhomme ,England,3,13,0,0,23.07,Chester-le-Street,Jul 3 2019
Colin de Grandhomme ,Pakistan,64,71,6,1,90.14,Birmingham,Jun 26 2019
Colin de Grandhomme ,Bangladesh,15,13,2,0,115.38,The Oval,Jun 5 2019
Colin de Grandhomme ,Australia,0,1,0,0,0.00,Lord's,Jun 29 2019
Colin de Grandhomme ,India,16,10,2,0,160.00,Manchester,Jul 9 - 10 2019
