name,oppName,runs,balls,four,six,sr,venue,date
Tom Lathamʠ,West Indies,12,16,0,0,75.00,Manchester,Jun 22 2019
Tom Lathamʠ,South Africa,1,4,0,0,25.00,Birmingham,Jun 19 2019
Tom Lathamʠ,England,47,56,2,1,83.92,Lord's,Jul 14 2019
Tom Lathamʠ,England,57,65,5,0,87.69,Chester-le-Street,Jul 3 2019
Tom Lathamʠ,Afghanistan,13,18,1,0,72.22,Taunton,Jun 8 2019
Tom Lathamʠ,Pakistan,1,14,0,0,7.14,Birmingham,Jun 26 2019
Tom Lathamʠ,Bangladesh,0,4,0,0,0.00,The Oval,Jun 5 2019
Tom Lathamʠ,Australia,14,28,0,0,50.00,Lord's,Jun 29 2019
Tom Lathamʠ,India,10,11,0,0,90.90,Manchester,Jul 9 - 10 2019
