name,oppName,runs,balls,four,six,sr,venue,date
Kane Williamson (c),West Indies,148,154,14,1,96.10,Manchester,Jun 22 2019
Kane Williamson (c),South Africa,106,138,9,1,76.81,Birmingham,Jun 19 2019
Kane Williamson (c),England,30,53,2,0,56.60,Lord's,Jul 14 2019
Kane Williamson (c),England,27,40,3,0,67.50,Chester-le-Street,Jul 3 2019
Kane Williamson (c),Afghanistan,79,99,9,0,79.79,Taunton,Jun 8 2019
Kane Williamson (c),Pakistan,41,69,4,0,59.42,Birmingham,Jun 26 2019
Kane Williamson (c),Bangladesh,40,72,1,0,55.55,The Oval,Jun 5 2019
Kane Williamson (c),Australia,40,51,2,1,78.43,Lord's,Jun 29 2019
Kane Williamson (c),India,67,95,6,0,70.52,Manchester,Jul 9 - 10 2019
