name,oppName,runs,balls,four,six,sr,venue,date
James Neesham ,West Indies,28,23,1,1,121.73,Manchester,Jun 22 2019
James Neesham ,South Africa,23,34,3,0,67.64,Birmingham,Jun 19 2019
James Neesham ,England,19,25,3,0,76.00,Lord's,Jul 14 2019
James Neesham ,England,19,27,1,0,70.37,Chester-le-Street,Jul 3 2019
James Neesham ,Pakistan,97,112,5,3,86.60,Birmingham,Jun 26 2019
James Neesham ,Bangladesh,25,33,2,1,75.75,The Oval,Jun 5 2019
James Neesham ,Australia,9,22,0,0,40.90,Lord's,Jun 29 2019
James Neesham ,India,12,18,1,0,66.66,Manchester,Jul 9 - 10 2019
