name,oppName,runs,balls,four,six,sr,venue,date
Mohammad Nabi ,South Africa,1,2,0,0,50.00,Cardiff,Jun 15 2019
Mohammad Nabi ,Pakistan,16,33,0,0,48.48,Leeds,Jun 29 2019
Mohammad Nabi ,Bangladesh,0,2,0,0,0.00,Southampton,Jun 24 2019
Mohammad Nabi ,New Zealand,9,24,0,0,37.50,Taunton,Jun 8 2019
Mohammad Nabi ,England,9,7,0,1,128.57,Manchester,Jun 18 2019
Mohammad Nabi ,Australia,7,22,0,0,31.81,Bristol,Jun 1 2019
Mohammad Nabi ,India,52,55,4,1,94.54,Southampton,Jun 22 2019
Mohammad Nabi ,West Indies,2,6,0,0,33.33,Leeds,Jul 4 2019
Mohammad Nabi ,Sri Lanka,11,16,1,0,68.75,Cardiff,Jun 4 2019
