name,oppName,runs,balls,four,six,sr,venue,date
Rashid Khan ,South Africa,35,25,6,0,140.00,Cardiff,Jun 15 2019
Rashid Khan ,Pakistan,8,12,1,0,66.66,Leeds,Jun 29 2019
Rashid Khan ,Bangladesh,2,3,0,0,66.66,Southampton,Jun 24 2019
Rashid Khan ,New Zealand,0,4,0,0,0.00,Taunton,Jun 8 2019
Rashid Khan ,England,8,13,1,0,61.53,Manchester,Jun 18 2019
Rashid Khan ,Australia,27,11,2,3,245.45,Bristol,Jun 1 2019
Rashid Khan ,India,14,16,1,0,87.50,Southampton,Jun 22 2019
Rashid Khan ,West Indies,9,16,0,1,56.25,Leeds,Jul 4 2019
Rashid Khan ,Sri Lanka,2,4,0,0,50.00,Cardiff,Jun 4 2019
