name,oppName,runs,balls,four,six,sr,venue,date
Rahmat Shah ,South Africa,6,22,1,0,27.27,Cardiff,Jun 15 2019
Rahmat Shah ,Pakistan,35,43,5,0,81.39,Leeds,Jun 29 2019
Rahmat Shah ,Bangladesh,24,35,3,0,68.57,Southampton,Jun 24 2019
Rahmat Shah ,New Zealand,0,4,0,0,0.00,Taunton,Jun 8 2019
Rahmat Shah ,England,46,74,3,1,62.16,Manchester,Jun 18 2019
Rahmat Shah ,Australia,43,60,6,0,71.66,Bristol,Jun 1 2019
Rahmat Shah ,India,36,63,3,0,57.14,Southampton,Jun 22 2019
Rahmat Shah ,West Indies,62,78,10,0,79.48,Leeds,Jul 4 2019
Rahmat Shah ,Sri Lanka,2,11,0,0,18.18,Cardiff,Jun 4 2019
