name,oppName,runs,balls,four,six,sr,venue,date
Hashmatullah Shahidi ,South Africa,8,22,1,0,36.36,Cardiff,Jun 15 2019
Hashmatullah Shahidi ,Pakistan,0,1,0,0,0.00,Leeds,Jun 29 2019
Hashmatullah Shahidi ,Bangladesh,11,31,0,0,35.48,Southampton,Jun 24 2019
Hashmatullah Shahidi ,New Zealand,59,99,9,0,59.59,Taunton,Jun 8 2019
Hashmatullah Shahidi ,England,76,100,5,2,76.00,Manchester,Jun 18 2019
Hashmatullah Shahidi ,Australia,18,34,3,0,52.94,Bristol,Jun 1 2019
Hashmatullah Shahidi ,India,21,45,2,0,46.66,Southampton,Jun 22 2019
Hashmatullah Shahidi ,Sri Lanka,4,17,0,0,23.52,Cardiff,Jun 4 2019
