name,oppName,runs,balls,four,six,sr,venue,date
Shakib Al Hasan ,Afghanistan,51,69,1,0,73.91,Southampton,Jun 24 2019
Shakib Al Hasan ,Pakistan,64,77,6,0,83.11,Lord's,Jul 5 2019
Shakib Al Hasan ,Australia,41,41,4,0,100.00,Nottingham,Jun 20 2019
Shakib Al Hasan ,West Indies,124,99,16,0,125.25,Taunton,Jun 17 2019
Shakib Al Hasan ,India,66,74,6,0,89.18,Birmingham,Jul 2 2019
Shakib Al Hasan ,England,121,119,12,1,101.68,Cardiff,Jun 8 2019
Shakib Al Hasan ,New Zealand,64,68,7,0,94.11,The Oval,Jun 5 2019
Shakib Al Hasan ,South Africa,75,84,8,1,89.28,The Oval,Jun 2 2019
