name,oppName,runs,balls,four,six,sr,venue,date
Soumya Sarkar ,Afghanistan,3,10,0,0,30.00,Southampton,Jun 24 2019
Soumya Sarkar ,Pakistan,22,22,4,0,100.00,Lord's,Jul 5 2019
Soumya Sarkar ,Australia,10,8,2,0,125.00,Nottingham,Jun 20 2019
Soumya Sarkar ,West Indies,29,23,2,2,126.08,Taunton,Jun 17 2019
Soumya Sarkar ,India,33,38,4,0,86.84,Birmingham,Jul 2 2019
Soumya Sarkar ,England,2,8,0,0,25.00,Cardiff,Jun 8 2019
Soumya Sarkar ,New Zealand,25,25,3,0,100.00,The Oval,Jun 5 2019
Soumya Sarkar ,South Africa,42,30,9,0,140.00,The Oval,Jun 2 2019
