name,oppName,runs,balls,four,six,sr,venue,date
Tamim Iqbal ,Afghanistan,36,53,4,0,67.92,Southampton,Jun 24 2019
Tamim Iqbal ,Pakistan,8,21,0,0,38.09,Lord's,Jul 5 2019
Tamim Iqbal ,Australia,62,74,6,0,83.78,Nottingham,Jun 20 2019
Tamim Iqbal ,West Indies,48,53,6,0,90.56,Taunton,Jun 17 2019
Tamim Iqbal ,India,22,31,3,0,70.96,Birmingham,Jul 2 2019
Tamim Iqbal ,England,19,29,1,0,65.51,Cardiff,Jun 8 2019
Tamim Iqbal ,New Zealand,24,38,3,0,63.15,The Oval,Jun 5 2019
Tamim Iqbal ,South Africa,16,29,2,0,55.17,The Oval,Jun 2 2019
