name,oppName,runs,balls,four,six,sr,venue,date
Mushfiqur Rahimʠ,Afghanistan,83,87,4,1,95.40,Southampton,Jun 24 2019
Mushfiqur Rahimʠ,Pakistan,16,19,2,0,84.21,Lord's,Jul 5 2019
Mushfiqur Rahimʠ,Australia,102,97,9,1,105.15,Nottingham,Jun 20 2019
Mushfiqur Rahimʠ,West Indies,1,5,0,0,20.00,Taunton,Jun 17 2019
Mushfiqur Rahimʠ,India,24,23,3,0,104.34,Birmingham,Jul 2 2019
Mushfiqur Rahimʠ,England,44,50,2,0,88.00,Cardiff,Jun 8 2019
Mushfiqur Rahimʠ,New Zealand,19,35,2,0,54.28,The Oval,Jun 5 2019
Mushfiqur Rahimʠ,South Africa,78,80,8,0,97.50,The Oval,Jun 2 2019
