name,oppName,runs,balls,four,six,sr,venue,date
Mohammad Hafeez ,Afghanistan,19,35,1,0,54.28,Leeds,Jun 29 2019
Mohammad Hafeez ,Bangladesh,27,25,3,0,108.00,Lord's,Jul 5 2019
Mohammad Hafeez ,India,9,7,0,1,128.57,Manchester,Jun 16 2019
Mohammad Hafeez ,New Zealand,32,50,5,0,64.00,Birmingham,Jun 26 2019
Mohammad Hafeez ,England,84,62,8,2,135.48,Nottingham,Jun 3 2019
Mohammad Hafeez ,South Africa,20,33,0,1,60.60,Lord's,Jun 23 2019
Mohammad Hafeez ,West Indies,16,24,2,0,66.66,Nottingham,May 31 2019
Mohammad Hafeez ,Australia,46,49,3,1,93.87,Taunton,Jun 12 2019
