name,oppName,runs,balls,four,six,sr,venue,date
Babar Azam ,Afghanistan,45,51,5,0,88.23,Leeds,Jun 29 2019
Babar Azam ,Bangladesh,96,98,11,0,97.95,Lord's,Jul 5 2019
Babar Azam ,India,48,57,3,1,84.21,Manchester,Jun 16 2019
Babar Azam ,New Zealand,101,127,11,0,79.52,Birmingham,Jun 26 2019
Babar Azam ,England,63,66,4,1,95.45,Nottingham,Jun 3 2019
Babar Azam ,South Africa,69,80,7,0,86.25,Lord's,Jun 23 2019
Babar Azam ,West Indies,22,33,2,0,66.66,Nottingham,May 31 2019
Babar Azam ,Australia,30,28,7,0,107.14,Taunton,Jun 12 2019
