name,oppName,runs,balls,four,six,sr,venue,date
Fakhar Zaman ,Afghanistan,0,2,0,0,0.00,Leeds,Jun 29 2019
Fakhar Zaman ,Bangladesh,13,31,1,0,41.93,Lord's,Jul 5 2019
Fakhar Zaman ,India,62,75,7,1,82.66,Manchester,Jun 16 2019
Fakhar Zaman ,New Zealand,9,10,2,0,90.00,Birmingham,Jun 26 2019
Fakhar Zaman ,England,36,40,6,0,90.00,Nottingham,Jun 3 2019
Fakhar Zaman ,South Africa,44,50,6,1,88.00,Lord's,Jun 23 2019
Fakhar Zaman ,West Indies,22,16,2,1,137.50,Nottingham,May 31 2019
Fakhar Zaman ,Australia,0,3,0,0,0.00,Taunton,Jun 12 2019
