name,oppName,runs,balls,four,six,sr,venue,date
Imam-ul-Haq ,Afghanistan,36,51,4,0,70.58,Leeds,Jun 29 2019
Imam-ul-Haq ,Bangladesh,100,100,7,0,100.00,Lord's,Jul 5 2019
Imam-ul-Haq ,India,7,18,1,0,38.88,Manchester,Jun 16 2019
Imam-ul-Haq ,New Zealand,19,29,3,0,65.51,Birmingham,Jun 26 2019
Imam-ul-Haq ,England,44,58,3,1,75.86,Nottingham,Jun 3 2019
Imam-ul-Haq ,South Africa,44,58,6,0,75.86,Lord's,Jun 23 2019
Imam-ul-Haq ,West Indies,2,11,0,0,18.18,Nottingham,May 31 2019
Imam-ul-Haq ,Australia,53,75,7,0,70.66,Taunton,Jun 12 2019
