name,oppName,runs,balls,four,six,sr,venue,date
Hasan Ali ,England,10,5,0,1,200.00,Nottingham,Jun 3 2019
Hasan Ali ,West Indies,1,4,0,0,25.00,Nottingham,May 31 2019
Hasan Ali ,Australia,32,15,3,3,213.33,Taunton,Jun 12 2019
