name,oppName,runs,balls,four,six,sr,venue,date
Jos Buttlerʠ,India,20,8,1,2,250.00,Birmingham,Jun 30 2019
Jos Buttlerʠ,New Zealand,59,60,6,0,98.33,Lord's,Jul 14 2019
Jos Buttlerʠ,Australia,25,27,2,0,92.59,Lord's,Jun 25 2019
Jos Buttlerʠ,New Zealand,11,12,1,0,91.66,Chester-le-Street,Jul 3 2019
Jos Buttlerʠ,Afghanistan,2,2,0,0,100.00,Manchester,Jun 18 2019
Jos Buttlerʠ,Sri Lanka,10,9,1,0,111.11,Leeds,Jun 21 2019
Jos Buttlerʠ,Pakistan,103,76,9,2,135.52,Nottingham,Jun 3 2019
Jos Buttlerʠ,Bangladesh,64,44,2,4,145.45,Cardiff,Jun 8 2019
Jos Buttlerʠ,South Africa,18,16,0,0,112.50,The Oval,May 30 2019
