name,oppName,runs,balls,four,six,sr,venue,date
Jofra Archer ,India,0,0,0,0,-,Birmingham,Jun 30 2019
Jofra Archer ,New Zealand,0,1,0,0,0.00,Lord's,Jul 14 2019
Jofra Archer ,Australia,1,4,0,0,25.00,Lord's,Jun 25 2019
Jofra Archer ,New Zealand,1,1,0,0,100.00,Chester-le-Street,Jul 3 2019
Jofra Archer ,Sri Lanka,3,11,0,0,27.27,Leeds,Jun 21 2019
Jofra Archer ,Pakistan,1,2,0,0,50.00,Nottingham,Jun 3 2019
Jofra Archer ,South Africa,7,3,1,0,233.33,The Oval,May 30 2019
