name,oppName,runs,balls,four,six,sr,venue,date
Lungi Ngidi ,Pakistan,1,6,0,0,16.66,Lord's,Jun 23 2019
Lungi Ngidi ,England,6,5,0,1,120.00,The Oval,May 30 2019
