name,oppName,runs,balls,four,six,sr,venue,date
Andile Phehlukwayo ,Afghanistan,17,17,2,1,100.00,Cardiff,Jun 15 2019
Andile Phehlukwayo ,New Zealand,0,5,0,0,0.00,Birmingham,Jun 19 2019
Andile Phehlukwayo ,India,34,61,2,1,55.73,Southampton,Jun 5 2019
Andile Phehlukwayo ,Australia,4,3,1,0,133.33,Manchester,Jul 6 2019
Andile Phehlukwayo ,Pakistan,46,32,6,0,143.75,Lord's,Jun 23 2019
Andile Phehlukwayo ,Bangladesh,8,13,1,0,61.53,The Oval,Jun 2 2019
Andile Phehlukwayo ,England,24,25,4,0,96.00,The Oval,May 30 2019
