name,oppName,runs,balls,four,six,sr,venue,date
Quinton de Kockʠ,,17,21,1,0,80.95,Southampton,Jun 10 2019
Quinton de Kockʠ,Afghanistan,68,72,8,0,94.44,Cardiff,Jun 15 2019
Quinton de Kockʠ,Sri Lanka,15,16,3,0,93.75,Chester-le-Street,Jun 28 2019
Quinton de Kockʠ,New Zealand,5,8,1,0,62.50,Birmingham,Jun 19 2019
Quinton de Kockʠ,India,10,17,1,0,58.82,Southampton,Jun 5 2019
Quinton de Kockʠ,Australia,52,51,7,0,101.96,Manchester,Jul 6 2019
Quinton de Kockʠ,Pakistan,47,60,3,2,78.33,Lord's,Jun 23 2019
Quinton de Kockʠ,Bangladesh,23,32,4,0,71.87,The Oval,Jun 2 2019
Quinton de Kockʠ,England,68,74,6,2,91.89,The Oval,May 30 2019
