name,oppName,runs,balls,four,six,sr,venue,date
Faf du Plessis (c),,0,7,0,0,0.00,Southampton,Jun 10 2019
Faf du Plessis (c),Sri Lanka,96,103,10,1,93.20,Chester-le-Street,Jun 28 2019
Faf du Plessis (c),New Zealand,23,35,4,0,65.71,Birmingham,Jun 19 2019
Faf du Plessis (c),India,38,54,4,0,70.37,Southampton,Jun 5 2019
Faf du Plessis (c),Australia,100,94,7,2,106.38,Manchester,Jul 6 2019
Faf du Plessis (c),Pakistan,63,79,5,0,79.74,Lord's,Jun 23 2019
Faf du Plessis (c),Bangladesh,62,53,5,1,116.98,The Oval,Jun 2 2019
Faf du Plessis (c),England,5,7,1,0,71.42,The Oval,May 30 2019
