name,oppName,runs,balls,four,six,sr,venue,date
Usman Khawaja ,England,23,29,1,0,79.31,Lord's,Jun 25 2019
Usman Khawaja ,South Africa,18,14,3,0,128.57,Manchester,Jul 6 2019
Usman Khawaja ,Bangladesh,89,72,10,0,123.61,Nottingham,Jun 20 2019
Usman Khawaja ,West Indies,13,19,2,0,68.42,Nottingham,Jun 6 2019
Usman Khawaja ,Afghanistan,15,20,1,0,75.00,Bristol,Jun 1 2019
Usman Khawaja ,Sri Lanka,10,20,1,0,50.00,The Oval,Jun 15 2019
Usman Khawaja ,New Zealand,88,129,5,0,68.21,Lord's,Jun 29 2019
Usman Khawaja ,India,42,39,4,1,107.69,The Oval,Jun 9 2019
Usman Khawaja ,Pakistan,18,16,3,0,112.50,Taunton,Jun 12 2019
