name,oppName,runs,balls,four,six,sr,venue,date
Shaun Marsh ,Sri Lanka,3,9,0,0,33.33,The Oval,Jun 15 2019
name,oppName,runs,balls,four,six,sr,venue,date
Shaun Marsh ,Pakistan,23,26,2,0,88.46,Taunton,Jun 12 2019
