name,oppName,runs,balls,four,six,sr,venue,date
Adam Zampa ,West Indies,0,0,0,0,-,Nottingham,Jun 6 2019
Adam Zampa ,India,1,3,0,0,33.33,The Oval,Jun 9 2019
