name,oppName,runs,balls,four,six,sr,venue,date
Mitchell Starc ,England,4,6,0,0,66.66,Lord's,Jun 25 2019
Mitchell Starc ,South Africa,16,11,1,1,145.45,Manchester,Jul 6 2019
Mitchell Starc ,West Indies,8,9,1,0,88.88,Nottingham,Jun 6 2019
Mitchell Starc ,England,29,36,1,1,80.55,Birmingham,Jul 11 2019
Mitchell Starc ,Sri Lanka,5,4,0,0,125.00,The Oval,Jun 15 2019
Mitchell Starc ,New Zealand,0,1,0,0,0.00,Lord's,Jun 29 2019
Mitchell Starc ,India,3,3,0,0,100.00,The Oval,Jun 9 2019
Mitchell Starc ,Pakistan,3,6,0,0,50.00,Taunton,Jun 12 2019
