name,oppName,runs,balls,four,six,sr,venue,date
Alex Careyʠ,England,38,27,5,0,140.74,Lord's,Jun 25 2019
Alex Careyʠ,South Africa,85,69,11,1,123.18,Manchester,Jul 6 2019
Alex Careyʠ,Bangladesh,11,8,1,0,137.50,Nottingham,Jun 20 2019
Alex Careyʠ,West Indies,45,55,7,0,81.81,Nottingham,Jun 6 2019
Alex Careyʠ,England,46,70,4,0,65.71,Birmingham,Jul 11 2019
Alex Careyʠ,Sri Lanka,4,3,0,0,133.33,The Oval,Jun 15 2019
Alex Careyʠ,New Zealand,71,72,11,0,98.61,Lord's,Jun 29 2019
Alex Careyʠ,India,55,35,5,1,157.14,The Oval,Jun 9 2019
Alex Careyʠ,Pakistan,20,21,2,0,95.23,Taunton,Jun 12 2019
