name,oppName,runs,balls,four,six,sr,venue,date
Pat Cummins ,England,1,4,0,0,25.00,Lord's,Jun 25 2019
Pat Cummins ,South Africa,9,15,1,0,60.00,Manchester,Jul 6 2019
Pat Cummins ,West Indies,2,6,0,0,33.33,Nottingham,Jun 6 2019
Pat Cummins ,England,6,10,0,0,60.00,Birmingham,Jul 11 2019
Pat Cummins ,Sri Lanka,0,1,0,0,0.00,The Oval,Jun 15 2019
Pat Cummins ,New Zealand,23,19,1,0,121.05,Lord's,Jun 29 2019
Pat Cummins ,India,8,7,1,0,114.28,The Oval,Jun 9 2019
Pat Cummins ,Pakistan,2,6,0,0,33.33,Taunton,Jun 12 2019
