name,oppName,runs,balls,four,six,sr,venue,date
Sunil Ambris ,India,31,40,2,0,77.50,Manchester,Jun 27 2019
Sunil Ambris ,Sri Lanka,5,6,1,0,83.33,Chester-le-Street,Jul 1 2019
