name,oppName,runs,balls,four,six,sr,venue,date
Shimron Hetmyer ,New Zealand,54,45,8,1,120.00,Manchester,Jun 22 2019
Shimron Hetmyer ,India,18,29,1,0,62.06,Manchester,Jun 27 2019
Shimron Hetmyer ,England,39,48,4,0,81.25,Southampton,Jun 14 2019
Shimron Hetmyer ,Australia,21,28,3,0,75.00,Nottingham,Jun 6 2019
Shimron Hetmyer ,Bangladesh,50,26,4,3,192.30,Taunton,Jun 17 2019
Shimron Hetmyer ,Sri Lanka,29,38,2,0,76.31,Chester-le-Street,Jul 1 2019
Shimron Hetmyer ,Afghanistan,39,31,3,2,125.80,Leeds,Jul 4 2019
Shimron Hetmyer ,Pakistan,7,8,0,0,87.50,Nottingham,May 31 2019
