name,oppName,runs,balls,four,six,sr,venue,date
Nicholas Pooran ,New Zealand,1,7,0,0,14.28,Manchester,Jun 22 2019
Nicholas Pooran ,India,28,50,2,0,56.00,Manchester,Jun 27 2019
Nicholas Pooran ,England,63,78,3,1,80.76,Southampton,Jun 14 2019
Nicholas Pooran ,Australia,40,36,5,1,111.11,Nottingham,Jun 6 2019
Nicholas Pooran ,Bangladesh,25,30,2,1,83.33,Taunton,Jun 17 2019
Nicholas Pooran ,Sri Lanka,118,103,11,4,114.56,Chester-le-Street,Jul 1 2019
Nicholas Pooran ,Afghanistan,58,43,6,1,134.88,Leeds,Jul 4 2019
Nicholas Pooran ,Pakistan,34,19,4,2,178.94,Nottingham,May 31 2019
