name,oppName,runs,balls,four,six,sr,venue,date
Chris Gayle ,New Zealand,87,84,8,6,103.57,Manchester,Jun 22 2019
Chris Gayle ,India,6,19,1,0,31.57,Manchester,Jun 27 2019
Chris Gayle ,England,36,41,5,1,87.80,Southampton,Jun 14 2019
Chris Gayle ,Australia,21,17,4,0,123.52,Nottingham,Jun 6 2019
Chris Gayle ,Bangladesh,0,13,0,0,0.00,Taunton,Jun 17 2019
Chris Gayle ,Sri Lanka,35,48,1,2,72.91,Chester-le-Street,Jul 1 2019
Chris Gayle ,Afghanistan,7,18,1,0,38.88,Leeds,Jul 4 2019
Chris Gayle ,Pakistan,50,34,6,3,147.05,Nottingham,May 31 2019
