name,oppName,runs,balls,four,six,sr,venue,date
Shai Hopeʠ,New Zealand,1,3,0,0,33.33,Manchester,Jun 22 2019
Shai Hopeʠ,India,5,10,1,0,50.00,Manchester,Jun 27 2019
Shai Hopeʠ,England,11,30,1,0,36.66,Southampton,Jun 14 2019
Shai Hopeʠ,Australia,68,105,7,0,64.76,Nottingham,Jun 6 2019
Shai Hopeʠ,Bangladesh,96,121,4,1,79.33,Taunton,Jun 17 2019
Shai Hopeʠ,Sri Lanka,5,11,1,0,45.45,Chester-le-Street,Jul 1 2019
Shai Hopeʠ,Afghanistan,77,92,6,2,83.69,Leeds,Jul 4 2019
Shai Hopeʠ,Pakistan,11,17,1,0,64.70,Nottingham,May 31 2019
