name,oppName,runs,balls,four,six,sr,venue,date
Jason Holder (c),New Zealand,0,1,0,0,0.00,Manchester,Jun 22 2019
Jason Holder (c),India,6,13,0,0,46.15,Manchester,Jun 27 2019
Jason Holder (c),England,9,10,0,1,90.00,Southampton,Jun 14 2019
Jason Holder (c),Australia,51,57,7,1,89.47,Nottingham,Jun 6 2019
Jason Holder (c),Bangladesh,33,15,4,2,220.00,Taunton,Jun 17 2019
Jason Holder (c),Sri Lanka,26,26,4,0,100.00,Chester-le-Street,Jul 1 2019
Jason Holder (c),Afghanistan,45,34,1,4,132.35,Leeds,Jul 4 2019
