name,oppName,runs,balls,four,six,sr,venue,date
Hardik Pandya ,England,45,33,4,0,136.36,Birmingham,Jun 30 2019
Hardik Pandya ,West Indies,46,38,5,0,121.05,Manchester,Jun 27 2019
Hardik Pandya ,South Africa,15,7,3,0,214.28,Southampton,Jun 5 2019
Hardik Pandya ,Pakistan,26,19,2,1,136.84,Manchester,Jun 16 2019
Hardik Pandya ,Bangladesh,0,2,0,0,0.00,Birmingham,Jul 2 2019
Hardik Pandya ,Sri Lanka,7,4,1,0,175.00,Leeds,Jul 6 2019
Hardik Pandya ,Afghanistan,7,9,0,0,77.77,Southampton,Jun 22 2019
Hardik Pandya ,Australia,48,27,4,3,177.77,The Oval,Jun 9 2019
Hardik Pandya ,New Zealand,32,62,2,0,51.61,Manchester,Jul 9 - 10 2019
