name,oppName,runs,balls,four,six,sr,venue,date
MS Dhoniʠ,England,42,31,4,1,135.48,Birmingham,Jun 30 2019
MS Dhoniʠ,West Indies,56,61,3,2,91.80,Manchester,Jun 27 2019
MS Dhoniʠ,South Africa,34,46,2,0,73.91,Southampton,Jun 5 2019
MS Dhoniʠ,Pakistan,1,2,0,0,50.00,Manchester,Jun 16 2019
MS Dhoniʠ,Bangladesh,35,33,4,0,106.06,Birmingham,Jul 2 2019
MS Dhoniʠ,Afghanistan,28,52,3,0,53.84,Southampton,Jun 22 2019
MS Dhoniʠ,Australia,27,14,3,1,192.85,The Oval,Jun 9 2019
MS Dhoniʠ,New Zealand,50,72,1,1,69.44,Manchester,Jul 9 - 10 2019
