name,oppName,runs,balls,four,six,sr,venue,date
KL Rahul ,England,0,9,0,0,0.00,Birmingham,Jun 30 2019
KL Rahul ,West Indies,48,64,6,0,75.00,Manchester,Jun 27 2019
KL Rahul ,South Africa,26,42,2,0,61.90,Southampton,Jun 5 2019
KL Rahul ,Pakistan,57,78,3,2,73.07,Manchester,Jun 16 2019
KL Rahul ,Bangladesh,77,92,6,1,83.69,Birmingham,Jul 2 2019
KL Rahul ,Sri Lanka,111,118,11,1,94.06,Leeds,Jul 6 2019
KL Rahul ,Afghanistan,30,53,2,0,56.60,Southampton,Jun 22 2019
KL Rahul ,Australia,11,3,1,1,366.66,The Oval,Jun 9 2019
KL Rahul ,New Zealand,1,7,0,0,14.28,Manchester,Jul 9 - 10 2019
