name,oppName,runs,balls,four,six,sr,venue,date
Virat Kohli (c),England,66,76,7,0,86.84,Birmingham,Jun 30 2019
Virat Kohli (c),West Indies,72,82,8,0,87.80,Manchester,Jun 27 2019
Virat Kohli (c),South Africa,18,34,1,0,52.94,Southampton,Jun 5 2019
Virat Kohli (c),Pakistan,77,65,7,0,118.46,Manchester,Jun 16 2019
Virat Kohli (c),Bangladesh,26,27,3,0,96.29,Birmingham,Jul 2 2019
Virat Kohli (c),Sri Lanka,34,41,3,0,82.92,Leeds,Jul 6 2019
Virat Kohli (c),Afghanistan,67,63,5,0,106.34,Southampton,Jun 22 2019
Virat Kohli (c),Australia,82,77,4,2,106.49,The Oval,Jun 9 2019
Virat Kohli (c),New Zealand,1,6,0,0,16.66,Manchester,Jul 9 - 10 2019
