name,oppName,runs,balls,four,six,sr,venue,date
Rohit Sharma ,England,102,109,15,0,93.57,Birmingham,Jun 30 2019
Rohit Sharma ,West Indies,18,23,1,1,78.26,Manchester,Jun 27 2019
Rohit Sharma ,South Africa,122,144,13,2,84.72,Southampton,Jun 5 2019
Rohit Sharma ,Pakistan,140,113,14,3,123.89,Manchester,Jun 16 2019
Rohit Sharma ,Bangladesh,104,92,7,5,113.04,Birmingham,Jul 2 2019
Rohit Sharma ,Sri Lanka,103,94,14,2,109.57,Leeds,Jul 6 2019
Rohit Sharma ,Afghanistan,1,10,0,0,10.00,Southampton,Jun 22 2019
Rohit Sharma ,Australia,57,70,3,1,81.42,The Oval,Jun 9 2019
Rohit Sharma ,New Zealand,1,4,0,0,25.00,Manchester,Jul 9 - 10 2019
