name,oppName,runs,balls,four,six,sr,venue,date
Dhananjaya de Silva ,South Africa,24,41,2,0,58.53,Chester-le-Street,Jun 28 2019
Dhananjaya de Silva ,New Zealand,4,13,1,0,30.76,Cardiff,Jun 1 2019
Dhananjaya de Silva ,England,29,47,1,0,61.70,Leeds,Jun 21 2019
Dhananjaya de Silva ,Australia,16,30,2,0,53.33,The Oval,Jun 15 2019
Dhananjaya de Silva ,West Indies,6,3,1,0,200.00,Chester-le-Street,Jul 1 2019
Dhananjaya de Silva ,India,29,36,1,0,80.55,Leeds,Jul 6 2019
Dhananjaya de Silva ,Afghanistan,0,4,0,0,0.00,Cardiff,Jun 4 2019
