name,oppName,runs,balls,four,six,sr,venue,date
Jeevan Mendis ,South Africa,18,46,1,1,39.13,Chester-le-Street,Jun 28 2019
Jeevan Mendis ,New Zealand,1,4,0,0,25.00,Cardiff,Jun 1 2019
Jeevan Mendis ,England,0,1,0,0,0.00,Leeds,Jun 21 2019
