name,oppName,runs,balls,four,six,sr,venue,date
Dimuth Karunaratne (c),South Africa,0,1,0,0,0.00,Chester-le-Street,Jun 28 2019
Dimuth Karunaratne (c),New Zealand,52,84,4,0,61.90,Cardiff,Jun 1 2019
Dimuth Karunaratne (c),England,1,8,0,0,12.50,Leeds,Jun 21 2019
Dimuth Karunaratne (c),Australia,97,108,9,0,89.81,The Oval,Jun 15 2019
Dimuth Karunaratne (c),West Indies,32,48,4,0,66.66,Chester-le-Street,Jul 1 2019
Dimuth Karunaratne (c),India,10,17,2,0,58.82,Leeds,Jul 6 2019
Dimuth Karunaratne (c),Afghanistan,30,45,3,0,66.66,Cardiff,Jun 4 2019
